batch_number,gets,puts,get_ratio,put_ratio
419,9923,0,1.0,0.0
420,9945,0,1.0,0.0
421,9902,0,1.0,0.0
422,9948,0,1.0,0.0
423,9913,0,1.0,0.0
424,9936,0,1.0,0.0
425,9921,0,1.0,0.0
426,9921,0,1.0,0.0
427,9943,0,1.0,0.0
428,9923,0,1.0,0.0
429,9923,0,1.0,0.0
430,9931,0,1.0,0.0
431,9923,0,1.0,0.0
432,9952,0,1.0,0.0
433,9933,0,1.0,0.0
434,9940,0,1.0,0.0
435,9952,0,1.0,0.0
436,9925,0,1.0,0.0
437,9912,0,1.0,0.0
438,9940,0,1.0,0.0
439,9932,0,1.0,0.0
440,9921,0,1.0,0.0
441,9935,0,1.0,0.0
442,9936,0,1.0,0.0
443,9946,0,1.0,0.0
444,9923,0,1.0,0.0
445,9929,0,1.0,0.0
446,9919,0,1.0,0.0
447,9931,0,1.0,0.0
448,9937,0,1.0,0.0
449,9949,0,1.0,0.0
450,9918,0,1.0,0.0
451,9921,0,1.0,0.0
452,9907,0,1.0,0.0
453,9962,0,1.0,0.0
454,9926,0,1.0,0.0
455,9934,0,1.0,0.0
456,9948,0,1.0,0.0
457,9940,0,1.0,0.0
458,9928,0,1.0,0.0
459,9936,0,1.0,0.0
460,9945,0,1.0,0.0
461,9942,0,1.0,0.0
462,9872,0,1.0,0.0
463,9933,0,1.0,0.0
464,9955,0,1.0,0.0
465,9941,0,1.0,0.0
466,9930,0,1.0,0.0
467,9910,0,1.0,0.0
468,9919,0,1.0,0.0
469,9938,0,1.0,0.0
470,9949,0,1.0,0.0
471,9922,0,1.0,0.0
472,9965,0,1.0,0.0
473,9932,0,1.0,0.0
474,9943,0,1.0,0.0
475,9915,0,1.0,0.0
476,9931,0,1.0,0.0
477,9923,0,1.0,0.0
478,9956,0,1.0,0.0
479,9948,0,1.0,0.0
480,9929,0,1.0,0.0
481,9921,0,1.0,0.0
482,9893,0,1.0,0.0
483,9931,0,1.0,0.0
484,9926,0,1.0,0.0
